agg_dat,week,N_sampled,N_positive,prop_B1617_2
2020-01-27,2020-W05,2,0,0
2020-03-09,2020-W11,7,0,0
2020-03-16,2020-W12,9,0,0
2020-03-23,2020-W13,17,0,0
2020-03-30,2020-W14,20,0,0
2020-04-06,2020-W15,22,0,0
2020-04-13,2020-W16,28,0,0
2020-04-20,2020-W17,31,0,0
2020-04-27,2020-W18,49,0,0
2020-05-04,2020-W19,33,0,0
2020-05-11,2020-W20,57,0,0
2020-05-18,2020-W21,104,0,0
2020-05-25,2020-W22,61,0,0
2020-06-01,2020-W23,33,0,0
2020-06-08,2020-W24,24,0,0
2020-06-15,2020-W25,145,0,0
2020-06-22,2020-W26,58,0,0
2020-06-29,2020-W27,37,0,0
2020-07-06,2020-W28,55,0,0
2020-07-13,2020-W29,77,0,0
2020-07-20,2020-W30,64,0,0
2020-07-27,2020-W31,59,0,0
2020-08-03,2020-W32,37,0,0
2020-08-10,2020-W33,53,0,0
2020-08-17,2020-W34,28,0,0
2020-08-24,2020-W35,40,0,0
2020-08-31,2020-W36,43,0,0
2020-09-07,2020-W37,63,0,0
2020-09-14,2020-W38,79,0,0
2020-09-21,2020-W39,29,0,0
2020-09-28,2020-W40,34,0,0
2020-10-05,2020-W41,10,0,0
2020-10-19,2020-W43,2,0,0
2020-10-26,2020-W44,6,0,0
2020-11-09,2020-W46,1,0,0
2020-11-16,2020-W47,14,0,0
2020-11-23,2020-W48,30,0,0
2020-11-30,2020-W49,36,0,0
2020-12-07,2020-W50,28,1,0.03571428571428571
2020-12-14,2020-W51,32,0,0
2020-12-21,2020-W52,50,0,0
2020-12-28,2020-W53,31,0,0
2021-01-04,2021-W01,31,0,0
2021-01-11,2021-W02,30,0,0
2021-01-18,2021-W03,26,0,0
2021-01-25,2021-W04,25,0,0
2021-02-01,2021-W05,65,0,0
2021-02-08,2021-W06,94,3,0.031914893617021274
2021-02-15,2021-W07,329,5,0.015197568389057751
2021-02-22,2021-W08,281,4,0.014234875444839857
2021-03-01,2021-W09,319,22,0.06896551724137931
2021-03-08,2021-W10,226,28,0.12389380530973451
2021-03-15,2021-W11,198,51,0.25757575757575757
2021-03-22,2021-W12,211,29,0.13744075829383887
2021-03-29,2021-W13,297,60,0.20202020202020202
2021-04-05,2021-W14,230,94,0.40869565217391307
2021-04-12,2021-W15,138,86,0.6231884057971014
2021-04-19,2021-W16,100,86,0.86
2021-04-26,2021-W17,94,75,0.7978723404255319
2021-05-03,2021-W18,44,40,0.9090909090909091
2021-05-10,2021-W19,41,34,0.8292682926829268
