region,date,percentage,deaths,ifr_low(0.21%),ifr_high(0.29%)
Delhi,2020-07-31,25.2,FALSE,NA,NA
Delhi,2020-08-31,22.8,FALSE,NA,NA
Delhi,2020-09-30,27.8,FALSE,NA,NA
Delhi,2020-10-31,34.3,FALSE,NA,NA
Delhi,2020-11-30,43.7,FALSE,NA,NA
Delhi,2020-12-31,54.9,TRUE,60.5,43.8
Delhi,2021-01-22,40.5,LAB,NA,NA
Delhi,2021-01-27,37.7,LAB,NA,NA
Mumbai,2020-07-31,28.9,FALSE,NA,NA
Mumbai,2020-08-31,31.2,FALSE,NA,NA
Mumbai,2020-09-30,34.4,FALSE,NA,NA
Mumbai,2020-10-31,41.3,FALSE,NA,NA
Mumbai,2020-11-30,38.9,FALSE,NA,NA
Mumbai,2020-12-31,36.8,TRUE,77,55.7
